Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Gujarat State Fertilizers & Chemicals","https://scanx.trade/company/gujarat-state-fertilizers-chemicals-ltd","180.60","0.50%","179.80","55,342","7,196.50","10.72","33.66","220.75","156.50","-2.54%","-7.97%","-6.47%","31.15%","139.05%","0.57","2.78%","10.51%","5.86%","13.52","184.30","194.44","53.50","67.10%","-"
"Gujarat Narmada Valley Fert & Chem","https://scanx.trade/company/gnfc-ltd","485.50","-1.73%","494.10","28,802","7,133.97","11.42","200.61","584.80","448.90","-2.50%","-2.71%","-12.23%","-11.82%","113.13%","0.84","3.64%","16.08%","8.25%","35.86","496.67","511.31","41.10","69.14%","-"
"Happiest Minds Technologies","https://scanx.trade/company/happiest-minds-technologies-ltd","455.75","-3.65%","472.05","63,003","6,939.92","36.90","39.80","774.05","469.30","-8.64%","-14.11%","-39.21%","-47.92%","30.87%","4.42","1.25%","16.78%","16.50%","15.18","498.54","570.98","29.34","70.37%","-"
"Tanla Platforms","https://scanx.trade/company/tanla-platforms-ltd","520.95","-2.01%","529.05","20,486","6,908.70","14.71","39.80","794.00","409.40","-5.97%","-22.03%","-22.14%","-26.19%","-28.64%","3.12","2.29%","28.24%","27.29%","41.21","582.57","597.28","33.96","64.36%","-"
"Cera Sanitaryware","https://scanx.trade/company/cera-sanitaryware-ltd","5,144.85","0.02%","5,139.00","306","6,635.59","26.72","-25.21","7,735.00","5,062.00","-7.05%","-16.48%","-33.13%","-0.93%","47.57%","4.90","1.26%","17.76%","21.33%","177.56","5,634.22","6,088.59","33.94","68.67%","-"
"Network18 Media & Investments","https://scanx.trade/company/network-18-media-ltd","42.85","0.02%","42.33","60,715","6,607.47","-5.33","11.15","74.70","39.55","-4.93%","-17.82%","-39.13%","-35.17%","18.53%","1.34","-","-0.34%","-25.64%","-","45.44","50.18","42.91","60.00%","-"
"Mastek","https://scanx.trade/company/mastek-ltd","2,050.00","-2.91%","2,098.95","10,101","6,349.82","17.91","39.80","3,134.95","1,882.90","-7.40%","-6.95%","-30.95%","23.10%","73.30%","2.44","1.09%","17.48%","17.14%","98.56","2,178.21","2,312.26","32.98","66.08%","-"
"Sheela Foam","https://scanx.trade/company/sheela-foam-ltd","580.90","-0.31%","581.95","1,698","6,315.01","110.57","40.63","1,058.85","562.95","-3.18%","-13.32%","-41.73%","-55.09%","-31.30%","2.06","-","6.53%","5.76%","12.09","626.89","670.83","41.09","71.53%","-"
"Just Dial","https://scanx.trade/company/just-dial-ltd","723.00","-0.19%","712.05","2,169","6,148.73","16.97","40.63","1,095.00","700.00","-1.92%","-13.17%","-26.95%","22.51%","18.40%","1.53","-","9.02%","11.19%","16.40","745.95","839.45","44.79","65.51%","-"
"Praj Industries","https://scanx.trade/company/praj-industries-ltd","318.00","-1.72%","321.10","42,626","5,845.26","56.37","38.29","874.30","293.70","0.49%","-6.83%","-60.77%","-10.07%","184.31%","4.57","1.85%","22.23%","20.40%","15.60","329.99","430.36","43.55","66.27%","-"
"Sterling & Wilson Renewable Energy","https://scanx.trade/company/sterling-wilson-solar-ltd","209.65","-1.46%","212.50","41,468","4,895.21","-13.54","13.76","475.35","196.55","-7.21%","-13.17%","-53.96%","-21.29%","-6.26%","10.57","-","488.96%","17.09%","-","223.14","265.04","41.66","50.00%","-"
